Owner,Latitude,Longitude,Name
AWS,32.08413,34.80863,Tel Aviv
AWS,-33.91909,18.42198,Cape Town
AWS,1.29088,103.85239,Singapore
AWS,35.68945633,139.6917161,Tokyo
AWS,37.566,126.9784,Seoul
AWS,18.94018,72.83484,Mumbai
AWS,22.35195832,114.119386,Hong Kong
AWS,34.69372591,135.502162,Osaka
AWS,-6.17148,106.82649,Jakarta
AWS,17.3949,78.47073,Hyderabad
AWS,39.9075,116.39723,Beijing
AWS,37.25,106,Ningxia
AWS,-33.86973,151.20825,Sydney
AWS,-37.81738,144.96754,Melbourne
Alibaba,1.29088,103.85239,Singapore
Alibaba,-33.86973,151.20825,Australia (Sydney)
Alibaba,13.75336,100.50483,Thailand (Bangkok)
Alibaba,3.14789,101.69405,Malaysia (Kuala Lumpur)
Alibaba,-6.17148,106.82649,Indonesia (Jakarta)
Alibaba,14.60487,120.98627,Philippines (Manila)
Alibaba,18.94018,72.83484,India (Mumbai)
Alibaba,35.68945633,139.6917161,Japan (Tokyo)
Alibaba,37.566,126.9784,South Korea (Seoul)
Alibaba,37.5128205,-78.69794871,US (Virginia)
Alibaba,37.401197,-122.111232,US (Silicon Valley)
Alibaba,50.11208,8.68341,Germany (Frankfurt)
Alibaba,51.50740836,-0.127698693,UK (London)
Alibaba,25.26951,55.30884,UAE (Dubai)
Alibaba,24.68204,46.68725,SAU (Riyadh)
Alibaba,0.31685,32.57291,China (Hong Kong)
Alibaba,36.06488,120.38042,China (Qingdao)
Alibaba,39.9075,116.39723,China (Beijing)
Alibaba,40.78341,114.87139,China (Zhangjiakou)
Alibaba,40.81056,111.65222,China (Hohhot)
Alibaba,40.993,113.133,China (Ulanqab)
Alibaba,30.29365,120.16142,China (Hangzhou)
Alibaba,31.22222,121.45806,China (Shanghai)
Alibaba,32.06167,118.77778,China (Nanjing)
Alibaba,22.54554,114.0683,China (Shenzhen)
Alibaba,23.73333,114.68333,China (Heyuan)
Alibaba,23.11667,113.25,China (Guangzhou)
Alibaba,30.66667,104.06667,China (Chengdu)
Alibaba,26.06139,119.30611,China (Fuzhou)
Alibaba,30.58333,114.26667,China (Wuhan)
